2022-12-09 09:33:34,291 | BemsService | INFO | succeed to do 'GetAhuTotalPowerHourly('20110531')'
2022-12-09 09:33:37,502 | BemsService | INFO | succeed to do 'GetAhuTotalPowerHourly('20110603')'
2022-12-09 09:34:02,655 | BemsService | INFO | succeed to do 'GetAhuTotalPowerHourly('20110602')'
2022-12-09 09:45:49,257 | BemsService | INFO | succeed to do 'GetAhuTotalPowerHourly('')'
2022-12-09 09:46:05,548 | BemsService | INFO | succeed to do 'GetAhuTotalPowerHourly('')'
2022-12-09 09:46:08,050 | BemsService | INFO | succeed to do 'GetAhuTotalPowerHourly('')'
2022-12-09 09:46:18,507 | BemsService | INFO | succeed to do 'GetAhuTotalPowerHourly('')'
2022-12-09 09:46:20,164 | BemsService | INFO | succeed to do 'GetAhuTotalPowerHourly('')'
2022-12-09 09:46:32,337 | BemsService | INFO | succeed to do 'GetAhuTotalPowerHourly('')'
2022-12-09 09:46:37,777 | BemsService | INFO | succeed to do 'GetAhuTotalPowerHourly('20110601')'
2022-12-09 09:46:45,456 | BemsService | INFO | succeed to do 'GetAhuTotalPowerHourly('20110601')'
2022-12-09 09:46:49,774 | BemsService | INFO | succeed to do 'GetAhuTotalPowerHourly('20110603')'
2022-12-13 18:29:21,273 | BemsService | INFO | succeed to do 'GetAhuNowTempData('201101110000')'
2022-12-13 18:29:36,860 | BemsService | INFO | succeed to do 'GetAhuTempData('2','20110602','20110602')'
2022-12-13 18:29:39,582 | BemsService | INFO | succeed to do 'GetAhuTempData('1','20110602','20110602')'
2022-12-13 18:29:41,940 | BemsService | INFO | succeed to do 'GetAhuTempData('5','20110602','20110602')'
2022-12-13 18:29:44,766 | BemsService | INFO | succeed to do 'GetAhuTempData('7','20110602','20110602')'
2022-12-13 18:29:49,356 | BemsService | INFO | succeed to do 'GetBoilerTotalData('201001120700 ')'
2022-12-13 18:29:58,676 | BemsService | INFO | succeed to do 'GetBoilerPowerData('11','20110602','20110602')'
2022-12-13 18:30:01,493 | BemsService | INFO | succeed to do 'GetBoilerPowerData('14','20110602','20110602')'
2022-12-13 18:30:04,157 | BemsService | INFO | succeed to do 'GetBoilerPowerData('15','20110602','20110602')'
2022-12-13 18:30:21,632 | BemsService | INFO | succeed to do 'GetBoilerGasData('14','20110602','20110602')'
2022-12-13 18:30:31,918 | BemsService | INFO | succeed to do 'GetBoilerGasData('14','20100113','20100113')'
2022-12-13 18:30:34,877 | BemsService | INFO | succeed to do 'GetChillerCwstData('201007130630')'
2022-12-13 18:30:40,843 | BemsService | INFO | succeed to do 'GetChillerPowerData('9','20110605','20110605')'
2022-12-13 18:30:42,533 | BemsService | INFO | succeed to do 'GetChillerPowerData('9','20110603','20110603')'
2022-12-13 18:30:48,106 | BemsService | INFO | succeed to do 'GetAhuTotalPowerHourly('20110602')'
2022-12-13 18:30:52,274 | BemsService | INFO | succeed to do 'GetAhuTotalPowerHourly('20110604')'
2022-12-13 18:30:58,954 | BemsService | INFO | succeed to do 'GetAhuTotalPowerDaily('201105',201106)'
2022-12-13 18:31:02,121 | BemsService | INFO | succeed to do 'GetAhuTotalPowerDaily('201106',201107)'
2022-12-13 18:31:06,880 | BemsService | INFO | succeed to do 'GetAhuTotalPowerDaily('201104',201105)'
2022-12-13 18:31:08,666 | BemsService | INFO | succeed to do 'GetAhuTotalPowerDaily('201103',201104)'
2022-12-13 18:31:10,347 | BemsService | INFO | succeed to do 'GetAhuTotalPowerDaily('201101',201102)'
